Game Title,KS Campaign Deadline,KS Campaign Launch Date,Total USD Pledged,Backers,KS Campgain Goal(USD)
War for the Overworld,1/3/2013,11/29/2012 19:11,211371.5,8351,240280.65
Shape of the World,7/1/2015,6/1/2015 15:17,79367.64,1198,59608.97
Bloodstained: Ritual of the Night,6/13/2015,5/11/2015 18:58,5545991.7,64867,500000
Legends of Persia,5/5/2014,3/6/2014 3:40,3797,136,3000
Labyrinthine Dreams,8/21/2013,7/22/2013 22:10,6110,114,6000
Legends of Eisenwald,5/22/2012,4/21/2012 13:49,83577.6,2729,50000
Bear Simulator,4/17/2014,3/18/2014 19:52,100571.47,3871,29500
CreaVures,2/17/2011,2/4/2011 21:47,5334.5,122,3000
Shroud of the Avatar: Forsaken Virtues,4/7/2013,3/8/2013 16:57,1919275.99,22322,1000000
FTL: Faster Than Light,4/1/2012,2/28/2012 2:04,200542.9,9818,10000
Expeditions: Conquistador,9/12/2012,8/3/2012 23:25,77247.09,1569,70000
Windforge,12/7/2013,11/6/2013 22:54,50161.85,792,46926.33
Risk of Rain,5/9/2013,4/9/2013 5:30,30480.5,1690,7000
TUG,5/31/2013,5/1/2013 22:26,293184.05,7231,215000
Hive Jump,9/6/2014,8/6/2014 15:51,58675.07,1972,50000
Orion Trail,3/13/2015,2/3/2015 17:06,97801,4062,90000
Valdis Story: Abyssal City,4/28/2012,3/29/2012 3:17,49574.14,2505,8000
Islands of Nyne: Battle Royale,6/10/2016,5/10/2016 20:58,50571,957,40000
Black The Fall,10/31/2014,9/30/2014 14:43,28485.37,1669,39923.35
SUPERHOT,6/14/2014,5/14/2014 13:01,250798.33,11626,100000
Crea,8/8/2012,7/10/2012 18:17,27870,1096,15000
Strike Suit Zero,11/17/2012,10/18/2012 8:10,174804.79,4484,100000
Conclave,9/23/2012,8/23/2012 17:52,75885.99,1375,75000
Tabletop Simulator,3/13/2014,2/11/2014 20:24,37403.29,1822,3000
Grim Dawn,5/19/2012,4/17/2012 12:34,537515.31,12457,280000
Guns of Icarus Online,2/21/2012,12/23/2011 18:14,35237.68,1211,10000
Knock-knock,9/11/2012,7/26/2012 19:04,41021.77,2108,30000
