Game Title,Steam Store Url
7 Days to Die,https://store.steampowered.com/app/251570
A Wizard's Lizard,https://store.steampowered.com/app/280040
Adventurezator: When Pigs Fly,https://store.steampowered.com/app/300280
Akaneiro: Demon Hunters,https://store.steampowered.com/app/230310
All Walls Must Fall - A Tech-Noir Tactics Game,https://store.steampowered.com/app/628290
Among the Sleep - Enhanced Edition,https://store.steampowered.com/app/250620
Anima Gate of Memories,https://store.steampowered.com/app/380750
AR-K,https://store.steampowered.com/app/269890
Armello,https://store.steampowered.com/app/290340
Armikrog,https://store.steampowered.com/app/334120
AVARIAvs,https://store.steampowered.com/app/816560
Awesomenauts - the 2D moba,https://store.steampowered.com/app/204300
Battle Worlds: Kronos,https://store.steampowered.com/app/237470
Bear Simulator,https://store.steampowered.com/app/395850
Black The Fall,https://store.steampowered.com/app/308060
Blade Symphony,https://store.steampowered.com/app/225600
Bloodstained: Ritual of the Night,https://store.steampowered.com/app/692850
BOMBFEST,https://store.steampowered.com/app/729640
Boss Monster,https://store.steampowered.com/app/362350
Broken Age,https://store.steampowered.com/app/232790
Broken Sword 5 - the Serpent's Curse,https://store.steampowered.com/app/262940
C-Wars,https://store.steampowered.com/app/250540
Castle Story,https://store.steampowered.com/app/227860
Catlateral Damage,https://store.steampowered.com/app/329860
Caveman Warriors,https://store.steampowered.com/app/603420
Chaos Reborn,https://store.steampowered.com/app/319050
Chasm,https://store.steampowered.com/app/312200
Children of Liberty,https://store.steampowered.com/app/264440
Children of Morta,https://store.steampowered.com/app/330020
Children of Zodiarcs,https://store.steampowered.com/app/436290
Chivalry: Medieval Warfare,https://store.steampowered.com/app/219640
Chroma Squad,https://store.steampowered.com/app/251130
Chuck's Challenge 3D 2020,https://store.steampowered.com/app/262590
CLANNAD,https://store.steampowered.com/app/324160
Cognition: An Erica Reed Thriller,https://store.steampowered.com/app/242780
Conclave,https://store.steampowered.com/app/333990
CONSORTIUM,https://store.steampowered.com/app/264240
Contagion,https://store.steampowered.com/app/238430
Cosmic Star Heroine,https://store.steampowered.com/app/256460
Crea,https://store.steampowered.com/app/280520
CreaVures,https://store.steampowered.com/app/49810
Darkest Dungeon®,https://store.steampowered.com/app/262060
Dead State: Reanimated,https://store.steampowered.com/app/239840
Desert Child,https://store.steampowered.com/app/844050
Dex,https://store.steampowered.com/app/269650
Die for Valhalla!,https://store.steampowered.com/app/606000
Rogue Stormers,https://store.steampowered.com/app/299480
Divinity: Original Sin (Classic),https://store.steampowered.com/app/230230
Dragon Fin Soup,https://store.steampowered.com/app/299600
Drifter,https://store.steampowered.com/app/259450
DubWars,https://store.steampowered.com/app/290000
Duelyst,https://store.steampowered.com/app/291410
Dungeon of Elements,https://store.steampowered.com/app/302310
Dungeonmans,https://store.steampowered.com/app/288120
Dyscourse,https://store.steampowered.com/app/234920
Dysfunctional Systems: Learning to Manage Chaos,https://store.steampowered.com/app/248800
Edge of Space,https://store.steampowered.com/app/238240
Elite Dangerous,https://store.steampowered.com/app/359320
Epic Tavern,https://store.steampowered.com/app/517720
Eterium,https://store.steampowered.com/app/280200
Expeditions: Conquistador,https://store.steampowered.com/app/237430
Faeria,https://store.steampowered.com/app/397060
Fallen: A2P Protocol,https://store.steampowered.com/app/325790
Fell Seal: Arbiter's Mark,https://store.steampowered.com/app/699170
Fist Puncher,https://store.steampowered.com/app/238630
FORCED: Slightly Better Edition,https://store.steampowered.com/app/249990
Freedom Planet,https://store.steampowered.com/app/248310
FRONTIERS,https://store.steampowered.com/app/293480
FTL: Faster Than Light,https://store.steampowered.com/app/212680
Full Bore,https://store.steampowered.com/app/264060
Garden Paws,https://store.steampowered.com/app/840010
GhostControl Inc.,https://store.steampowered.com/app/280540
Gibbous -  A Cthulhu Adventure,https://store.steampowered.com/app/914020
Godus,https://store.steampowered.com/app/232810
Grim Dawn,https://store.steampowered.com/app/219990
Guard Duty,https://store.steampowered.com/app/872750
Guncraft,https://store.steampowered.com/app/241720
Guns of Icarus Online,https://store.steampowered.com/app/209080
H-Hour: World's Elite,https://store.steampowered.com/app/293220
Hard West,https://store.steampowered.com/app/307670
Hero Generations,https://store.steampowered.com/app/295590
Heroes of Steel RPG,https://store.steampowered.com/app/291190
Hive Jump,https://store.steampowered.com/app/295670
Hot Tin Roof: The Cat That Wore A Fedora,https://store.steampowered.com/app/253390
Humans Must Answer,https://store.steampowered.com/app/261740
Hyper Light Drifter,https://store.steampowered.com/app/257850
Hypnospace Outlaw,https://store.steampowered.com/app/844590
Imagine Me,https://store.steampowered.com/app/265670
In The Shadows,https://store.steampowered.com/app/470580
Infinite Space III: Sea of Stars,https://store.steampowered.com/app/269990
Influent,https://store.steampowered.com/app/274980
InnerSpace,https://store.steampowered.com/app/347000
Into the Stars,https://store.steampowered.com/app/360510
Iron Harvest,https://store.steampowered.com/app/826630
Iron Tides,https://store.steampowered.com/app/609410
Islands of Nyne: Battle Royale,https://store.steampowered.com/app/728540
Jagged Alliance Flashback,https://store.steampowered.com/app/256010
Jotun: Valhalla Edition,https://store.steampowered.com/app/323580
Kentucky Route Zero: PC Edition,https://store.steampowered.com/app/231200
Knock-knock,https://store.steampowered.com/app/250380
Labyrinthine Dreams,https://store.steampowered.com/app/278570
Last Dream,https://store.steampowered.com/app/266230
Legend of Dungeon,https://store.steampowered.com/app/238280
Legends of Aethereus,https://store.steampowered.com/app/248410
Legends of Eisenwald,https://store.steampowered.com/app/246760
Legends of Persia,https://store.steampowered.com/app/301220
Legion TD 2 - Multiplayer Tower Defense,https://store.steampowered.com/app/469600
LEGRAND LEGACY: Tale of the Fatebounds,https://store.steampowered.com/app/556740
Leisure Suit Larry in the Land of the Lounge Lizards: Reloaded,https://store.steampowered.com/app/231910
Lifeless Planet Premier Edition,https://store.steampowered.com/app/261530
Lilly Looking Through,https://store.steampowered.com/app/250030
Lonely Mountains: Downhill,https://store.steampowered.com/app/711540
Lords of Xulima,https://store.steampowered.com/app/296570
LOUD on Planet X,https://store.steampowered.com/app/365200
Magicite,https://store.steampowered.com/app/268750
Maia,https://store.steampowered.com/app/252250
Malevolence: The Sword of Ahkranox,https://store.steampowered.com/app/268930
MASSIVE CHALICE,https://store.steampowered.com/app/246110
Max Gentlemen Sexy Business!,https://store.steampowered.com/app/817840
Mighty No. 9,https://store.steampowered.com/app/314710
Moebius: Empire Rising,https://store.steampowered.com/app/264520
Monochroma,https://store.steampowered.com/app/265830
Monster Prom,https://store.steampowered.com/app/743450
Moon Hunters,https://store.steampowered.com/app/320040
Neverending Nightmares,https://store.steampowered.com/app/253330
Nevermind,https://store.steampowered.com/app/342260
Niche - a genetics survival game,https://store.steampowered.com/app/440650
Night in the Woods,https://store.steampowered.com/app/481510
NightCry,https://store.steampowered.com/app/427660
No Time To Explain Remastered,https://store.steampowered.com/app/368730
Noble Armada: Lost Worlds,https://store.steampowered.com/app/886230
Obduction,https://store.steampowered.com/app/306760
Octodad: Dadliest Catch,https://store.steampowered.com/app/224480
Organ Trail: Director's Cut,https://store.steampowered.com/app/233740
Organic Panic,https://store.steampowered.com/app/282740
