Game Title,Developer,Genre,Release Date,Positive Critics,Neutral Critics,Negative Critcs,Positive Users,Neutral Users,Negative Users,Metascore,User Score
SpaceChem,Zachtronics Industries,Miscellaneous,2-Mar-11,11,2,0,45,3,2,84,85
Xenonauts,"Gamethunks, Goldhawk Interactive",General,4-Nov-11,15,5,1,30,9,8,77,79
Before the Echo,Iridium Studios,Action,20-Oct-11,3,4,0,17,8,3,70,74
FTL: Faster Than Light,Subset Games,Simulation,14-Sep-12,41,1,0,273,35,55,84,84
Chivalry: Medieval Warfare,Torn Banner Studios,Action,16-Oct-12,19,5,0,189,64,56,79,78
Resonance,xii games,Adventure,19-Jun-12,23,12,0,20,5,4,76,77
Guns of Icarus Online,Muse Games,Action,29-Oct-12,1,6,0,81,15,26,64,78
Valdis Story: Abyssal City,Endless Fluff,Action,8-Sep-13,7,0,0,19,8,4,83,76
Expeditions: Conquistador,Logic Artists,Role-Playing,30-May-13,14,7,0,33,13,3,77,81
Risk of Rain,"Chucklefish, Hopoo Games",General,8-Nov-13,7,5,0,57,6,7,77,81
Volgarr the Viking,Crazy Viking Studios,Action,13-Sep-13,7,2,0,16,8,6,76,77
Shadowrun Returns,Harebrained Schemes LLC,Role-Playing,25-Jul-13,31,23,0,167,88,61,76,74
Paper Sorcerer,Ultra Runaway Games,General,2-Nov-13,1,6,0,5,0,1,73,67
Fist Puncher,Team2Bit,Action,21-Jun-13,5,6,0,6,2,2,73,75
Lilly Looking Through,Geeta Games,Adventure,1-Nov-13,2,7,0,1,3,2,71,68
Battle Worlds: Kronos,KING Art,Strategy,4-Nov-13,7,8,0,13,6,3,71,71
Strike Suit Zero,Born Ready Games,Action,23-Jan-13,11,26,3,32,18,13,66,73
Legend of Dungeon,Robot Loves Kitty,Action,13-Sep-13,4,8,1,6,5,2,62,75
StarDrive,Zero Sum Games,Strategy,26-Apr-13,4,20,2,103,39,45,61,68
Knock-knock,Ice-Pick Lodge,General,4-Oct-13,4,6,6,14,2,4,57,83
Humans Must Answer,SumomGames,Action,11-Jul-13,0,6,1,2,0,1,55,53
Akaneiro: Demon Hunters,Spicy Horse,Role-Playing,24-Jan-13,0,12,3,3,1,4,53,65
Takedown: Red Sabre,Serellan LLC,Action,20-Sep-13,0,2,15,6,5,46,34,29
Freedom Planet,GalaxyTrail,Action,21-Jul-14,6,1,0,30,0,1,83,83
Sportsfriends,Die Gute Fabrik,Sports,6-May-14,17,4,0,4,2,2,82,63
The Banner Saga,Stoic,Role-Playing,14-Jan-14,59,15,0,89,42,28,80,80
The Fall,Over The Moon,Action,30-May-14,12,5,0,9,6,4,76,72
Broken Age,Double Fine Productions,Third-Person,28-Jan-14,12,7,0,3,7,3,76,69
Full Bore,Whole Hog Games,Miscellaneous,6-May-14,7,4,0,3,0,0,72,67
The Fall,Over The Moon,Action Adventure,26-Aug-14,4,5,0,1,2,0,72,75
Black The Fall,Sand Sailor Studio,Action,4-Jul-14,10,13,0,4,2,0,72,70
Lords of Xulima,Numantian Games,Role-Playing,14-Nov-14,3,6,0,23,6,3,71,78
Octodad: Dadliest Catch,Kevin Zuhn,Modern,22-Apr-14,8,23,0,5,9,1,69,68
Octodad: Dadliest Catch,"Young Horses, Inc",Modern,30-Jan-14,17,25,2,20,14,5,69,76
Neverending Nightmares,Infinitap Games,Horror,26-Sep-14,8,11,2,12,6,5,68,71
Tesla Effect: A Tex Murphy Adventure,Big Finish Games,Adventure,7-May-14,9,23,1,35,6,2,68,85
CONSORTIUM,Interdimensional Games Inc,Sci-Fi,8-Jan-14,4,8,2,11,4,4,66,76
Unrest,Pyrodactyl Games,General,23-Jul-14,5,9,1,0,1,0,65,58
Whispering Willows,Night Light Interactive,Miscellaneous,9-Jul-14,1,9,0,10,0,0,64,71
"Sir, You Are Being Hunted",Big Robot Ltd,Shooter,2-May-14,4,17,4,10,11,3,63,65
Quest for Infamy,Infamous Quests,Adventure,10-Jul-14,3,5,1,5,2,0,63,74
Dex,"Dreadlocks Ltd, Dreadlocks",Role-Playing,13-Aug-14,6,8,2,10,2,1,62,77
Monochroma,Nowhere Studios,Action,28-May-14,1,19,7,11,3,1,55,68
Moebius: Empire Rising,Pinkerton Road Studio,Adventure,15-Apr-14,6,21,13,20,9,12,54,62
Windforge,Snowed In Studios,Action,11-Mar-14,0,5,2,3,1,1,53,69
Pillars of Eternity,Obsidian Entertainment,PC-style RPG,26-Mar-15,70,1,0,328,85,49,89,83
Chaos Reborn,Snapshot Games Inc.,Fantasy,26-Oct-15,10,0,0,22,5,1,85,81
Freedom Planet,GalaxyTrail,Action,20-Aug-15,7,0,0,11,3,0,84,85
Broken Age,Double Fine Productions,Third-Person,28-Apr-15,18,3,0,13,9,2,81,73
Armello,League of Geeks,Miscellaneous,1-Sep-15,19,5,2,6,6,6,75,70
Satellite Reign,5 Lives Studios,Sci-Fi,28-Aug-15,26,10,0,14,5,7,75,77
Chroma Squad,Behold Studios,Strategy,30-Apr-15,13,7,1,15,2,2,75,77
The Escapists,Mouldy Toof Studios,Action,13-Feb-15,18,13,0,7,1,1,74,67
Armello,League of Geeks,Miscellaneous,1-Sep-15,10,4,1,15,3,4,74,71
The Red Solstice,Ironward,Action,9-Jul-15,5,7,0,14,2,1,74,74
Hard West,CreativeForge Games,Historic,18-Nov-15,20,24,0,12,9,5,73,75
Dyscourse,Owlchemy Labs,Adventure,25-Mar-15,3,6,0,2,1,3,71,48
The Escapists,Mouldy Toof Studios,Action,13-Feb-15,13,10,1,11,5,4,71,70
The Escapists,Mouldy Toof Studios,Action,2-Jun-15,8,12,1,2,2,1,71,63
Legends of Eisenwald,Aterdux Entertainment,General,2-Jul-15,4,13,0,9,2,2,71,77
Sunset,Tale of Tales,Modern,21-May-15,15,13,6,1,2,8,66,28
War for the Overworld,Subterranean Games,Strategy,2-Apr-15,3,9,2,21,7,7,65,78
Whispering Willows,LOOT Interactive,Adventure,30-Jun-15,4,17,2,5,2,0,63,59
There Came an Echo,Iridium Studios,Sci-Fi,24-Feb-15,2,9,3,4,1,2,58,57
Armikrog,Pencil Test Studios,General,30-Sep-15,5,23,11,2,10,8,57,50
Pulse,"Team Pixel Pi, Pixel Pi Games",General,20-Oct-15,0,6,2,0,0,1,57,51
Son of Nor,stillalive studios,Fantasy,31-Mar-15,1,10,3,8,1,1,54,77
Chivalry: Medieval Warfare,"Torn Banner Studios, Hardsuit Labs",Action,2-Dec-15,2,1,4,2,0,4,51,43
Hyper Light Drifter,Heart Machine,Role-Playing,31-Mar-16,43,4,0,43,8,3,84,83
Grim Dawn,Crate Entertainment,Action RPG,25-Feb-16,29,0,0,101,24,9,83,85
SUPERHOT,SUPERHOT,Modern,3-May-16,14,4,0,15,2,0,83,80
SUPERHOT,SUPERHOT,Modern,25-Feb-16,77,16,0,47,32,9,82,75
Duelyst,Counterplay Games,Fantasy,3-May-16,12,2,0,9,1,3,82,77
Shantae: Half-Genie Hero,WayForward,Action,20-Dec-16,27,1,0,14,4,0,81,76
Shantae: Half-Genie Hero,WayForward,Action,20-Dec-16,7,2,0,4,1,0,80,85
Hyper Light Drifter,Heart Machine,Role-Playing,26-Jul-16,9,2,0,11,2,0,80,77
Jotun: Valhalla Edition,Thunder Lotus Games,Action,8-Sep-16,6,3,0,0,0,2,79,64
The Banner Saga,Stoic,Role-Playing,12-Jan-16,18,3,0,11,3,0,79,76
"That Dragon, Cancer",Numinous Games,General,11-Jan-16,30,8,1,10,4,14,78,60
The Banner Saga,Stoic,Role-Playing,12-Jan-16,6,3,0,5,2,1,76,82
Obduction,Cyan Worlds,Adventure,24-Aug-16,22,7,2,37,7,2,76,77
Hyper Light Drifter,Heart Machine,Role-Playing,26-Jul-16,5,3,0,2,1,0,76,70
Neverending Nightmares,Infinitap Games,Action Adventure,3-May-16,5,5,0,2,2,0,74,69
The Flame in the Flood,The Molasses Flood,Action Adventure,24-Feb-16,12,9,1,0,2,1,74,50
Jotun: Valhalla Edition,Thunder Lotus Games,Action,9-Sep-16,7,6,0,1,1,0,73,57
The Flame in the Flood,The Molasses Flood,Modern,24-Feb-16,21,22,0,3,6,4,73,59
Jotun: Valhalla Edition,Thunder Lotus Games,Action,9-Sep-16,9,10,0,1,0,0,72,70
Republique,"Camouflaj, LLC",Action Adventure,22-Mar-16,18,17,0,2,2,3,72,59
Rogue Stormers,Black Forest Games,Action,21-Apr-16,3,7,0,5,1,1,68,76
Dex,"Dreadlocks Ltd, Dreadlocks",Role-Playing,12-Jul-16,2,7,1,3,0,1,67,70
Rogue Wizards,Spellbind Studios,Role-Playing,27-Sep-16,1,7,0,2,1,0,67,63
Moon Hunters,Kitfox Games,Role-Playing,10-Mar-16,2,11,1,1,4,0,62,63
Into the Stars,Fugitive Games,Action Adventure,4-Mar-16,4,8,5,0,0,3,61,31
Armikrog,"Versus Evil, Pencil Test Studios",Adventure,23-Aug-16,1,7,0,1,0,2,61,73
The Dwarves,"KING Art, King Art Games",Role-Playing,1-Dec-16,2,13,2,9,4,2,61,65
The Dwarves,Nordic Games Publishing,Role-Playing,1-Dec-16,1,9,2,3,1,0,60,61
The Dwarves,Nordic Games Publishing,Role-Playing,1-Dec-16,2,7,4,0,1,1,58,39
Catlateral Damage,Manekoware,Action,22-Mar-16,1,6,3,0,1,0,57,51
Mighty No. 9,Inti Creates,Platformer,21-Jun-16,2,7,4,11,4,6,55,41
Mighty No. 9,Inti Creates,Platformer,21-Jun-16,5,39,20,24,21,58,52,35
Mighty No. 9,Inti Creates,Platformer,21-Jun-16,1,12,5,10,14,14,52,36
Armikrog,Pencil Test Studios,Adventure,23-Aug-16,0,6,2,1,0,1,50,62
Mighty No. 9,Inti Creates,Platformer,21-Jun-16,0,7,2,7,3,13,48,43
NightCry,Unknown,Unknown,28-Mar-16,0,0,0,0,0,0,46,30
7 Days to Die,The Fun Pimps,Action,28-Jun-16,1,6,9,35,22,20,45,58
