Game Title,Recent Reviews,All Reviews,Release Date,Developer,Publisher,Genre,Original Price
Stonehearth,"Mixed,(66),- 40% of the 66 user reviews in the last 30 days are positive.","Mostly Positive,(5,484),- 75% of the 5,484 user reviews for this game are positive.",25-Jul-18,Radiant Entertainment,"(none),(none)","Indie,Simulation,Strategy",$19.99 
Pillars of Eternity,"Very Positive,(60),- 85% of the 60 user reviews in the last 30 days are positive.","Very Positive,(8,015),- 84% of the 8,015 user reviews for this game are positive.",26-Mar-15,Obsidian Entertainment,"Paradox Interactive,Paradox Interactive",RPG,$59.98 
Town of Salem,"Mostly Positive,(208),- 71% of the 208 user reviews in the last 30 days are positive.","Very Positive,(13,158),- 86% of the 13,158 user reviews for this game are positive.",15-Dec-14,BlankMediaGames,"BlankMediaGames,BlankMediaGames","Indie,RPG,Strategy",$4.99 
Fell Seal: Arbiter's Mark,"Very Positive,(122),- 94% of the 122 user reviews in the last 30 days are positive.","Very Positive,(725),- 92% of the 725 user reviews for this game are positive.",30-Apr-19,6 Eyes Studio,"1C Entertainment,1C Entertainment","Indie,RPG,Strategy",$29.99 
Elite Dangerous,"Mixed,(198),- 66% of the 198 user reviews in the last 30 days are positive.","Mixed,(28,383),- 68% of the 28,383 user reviews for this game are positive.",2-Apr-15,Frontier Developments,"Frontier Developments,Frontier Developments","Action,Adventure,Massively Multiplayer,RPG,Simulation,Strategy",$29.99 
Darkest Dungeon®,"Very Positive,(488),- 85% of the 488 user reviews in the last 30 days are positive.","Very Positive,(42,821),- 85% of the 42,821 user reviews for this game are positive.",19-Jan-16,Red Hook Studios,"Red Hook Studios,Red Hook Studios","Indie,RPG,Strategy",$24.99 
Grim Dawn,"Very Positive,(697),- 82% of the 697 user reviews in the last 30 days are positive.","Very Positive,(24,456),- 90% of the 24,456 user reviews for this game are positive.",25-Feb-16,Crate Entertainment,"Crate Entertainment,Crate Entertainment","Action,Adventure,Indie,RPG",$24.99 
7 Days to Die,"Mixed,(497),- 58% of the 497 user reviews in the last 30 days are positive.","Mostly Positive,(55,096),- 77% of the 55,096 user reviews for this game are positive.",13-Dec-13,The Fun Pimps,"The Fun Pimps Entertainment LLC,The Fun Pimps Entertainment LLC","Action,Adventure,Indie,RPG,Simulation,Strategy,Early Access",$24.99 
Tabletop Simulator,"Very Positive,(87),- 87% of the 87 user reviews in the last 30 days are positive.","Very Positive,(8,785),- 93% of the 8,785 user reviews for this game are positive.",5-Jun-15,Berserk Games,"Berserk Games,Berserk Games","Casual,Indie,RPG,Simulation,Strategy",$19.99 
Bloodstained: Ritual of the Night,Unknown,Unknown,18-Jun-19,ArtPlay,"505 Games,505 Games","Action,Adventure,RPG",$39.99 
RimWorld,"Overwhelmingly Positive,(519),- 96% of the 519 user reviews in the last 30 days are positive.","Overwhelmingly Positive,(31,754),- 97% of the 31,754 user reviews for this game are positive.",17-Oct-18,Ludeon Studios,"Ludeon Studios,Ludeon Studios","Indie,Simulation,Strategy",$34.99 
Chivalry: Medieval Warfare,"Mixed,(262),- 51% of the 262 user reviews in the last 30 days are positive.","Very Positive,(43,174),- 82% of the 43,174 user reviews for this game are positive.",16-Oct-12,Torn Banner Studios,"Torn Banner Studios,Torn Banner Studios","Action,Indie",$24.99 
Hypnospace Outlaw,"Very Positive,(30),- 93% of the 30 user reviews in the last 30 days are positive.","Very Positive,(444),- 98% of the 444 user reviews for this game are positive.",12-Mar-19,"Tendershoot,Michael Lasch,ThatWhichIs Media","No More Robots,No More Robots",Simulation,$19.99 
SUNLESS SKIES,"Very Positive,(39),- 94% of the 39 user reviews in the last 30 days are positive.","Mostly Positive,(535),- 78% of the 535 user reviews for this game are positive.",31-Jan-19,Failbetter Games,"Failbetter Games,Failbetter Games","Adventure,Indie,RPG",$24.99 
Armello,"Mixed,(55),- 67% of the 55 user reviews in the last 30 days are positive.","Very Positive,(6,511),- 80% of the 6,511 user reviews for this game are positive.",1-Sep-15,League of Geeks,"League of Geeks,League of Geeks","Adventure,Indie,RPG,Strategy",$19.99 
Night in the Woods,"Very Positive,(83),- 97% of the 83 user reviews in the last 30 days are positive.","Very Positive,(6,306),- 94% of the 6,306 user reviews for this game are positive.",21-Feb-17,Infinite Fall,"Finji,Finji",Adventure,$19.99 
War for the Overworld,"Mostly Positive,(69),- 79% of the 69 user reviews in the last 30 days are positive.","Very Positive,(3,776),- 84% of the 3,776 user reviews for this game are positive.",2-Apr-15,Brightrock Games,"Brightrock Games,Brightrock Games","Indie,Simulation,Strategy",$29.99 
Moon Hunters,"Very Positive,(24),- 91% of the 24 user reviews in the last 30 days are positive.","Mostly Positive,(1,392),- 79% of the 1,392 user reviews for this game are positive.",10-Mar-16,Kitfox Games,"Kitfox Games,Kitfox Games","Adventure,Indie,RPG",$14.99 
FTL: Faster Than Light,"Very Positive,(151),- 84% of the 151 user reviews in the last 30 days are positive.","Overwhelmingly Positive,(33,808),- 96% of the 33,808 user reviews for this game are positive.",14-Sep-12,Subset Games,"Subset Games,Subset Games","Indie,Simulation,Strategy",$9.99 
Garden Paws,"Very Positive,(20),- 80% of the 20 user reviews in the last 30 days are positive.","Very Positive,(253),- 87% of the 253 user reviews for this game are positive.",18-Dec-18,Bitten Toast Games Inc.,"Bitten Toast Games Inc.,Bitten Toast Games Inc.","Adventure,Indie,RPG,Simulation",$19.99 
Shovel Knight: Treasure Trove,"Very Positive,(142),- 92% of the 142 user reviews in the last 30 days are positive.","Overwhelmingly Positive,(8,061),- 96% of the 8,061 user reviews for this game are positive.",26-Jun-14,Yacht Club Games,"Yacht Club Games,Yacht Club Games","Action,Adventure,Indie",$24.99 
The Long Dark,"Very Positive,(579),- 82% of the 579 user reviews in the last 30 days are positive.","Very Positive,(45,188),- 91% of the 45,188 user reviews for this game are positive.",1-Aug-17,Hinterland Studio Inc.,"Hinterland Studio Inc.,Hinterland Studio Inc.","Adventure,Indie,Simulation,Strategy",$29.99 
SUPERHOT,"Very Positive,(158),- 88% of the 158 user reviews in the last 30 days are positive.","Very Positive,(10,184),- 85% of the 10,184 user reviews for this game are positive.",25-Feb-16,SUPERHOT Team,"SUPERHOT Team,SUPERHOT Team","Action,Indie",$24.99 
SUNLESS SEA,"Mostly Positive,(26),- 76% of the 26 user reviews in the last 30 days are positive.","Very Positive,(5,100),- 83% of the 5,100 user reviews for this game are positive.",6-Feb-15,Failbetter Games,"Failbetter Games,Failbetter Games","Adventure,Indie,RPG",$18.99 
Obduction,"Mostly Positive,(14),- 78% of the 14 user reviews in the last 30 days are positive.","Mostly Positive,(1,643),- 78% of the 1,643 user reviews for this game are positive.",24-Aug-16,Cyan Inc.,"Cyan Inc.,Cyan Inc.","Adventure,Indie",$29.99 
Rain World,"Very Positive,(46),- 80% of the 46 user reviews in the last 30 days are positive.","Very Positive,(1,458),- 86% of the 1,458 user reviews for this game are positive.",28-Mar-17,Videocult,"Adult Swim Games,Adult Swim Games","Action,Adventure,Indie",$19.99 
Shadowrun: Hong Kong - Extended Edition,"Mostly Positive,(12),- 75% of the 12 user reviews in the last 30 days are positive.","Very Positive,(1,834),- 84% of the 1,834 user reviews for this game are positive.",20-Aug-15,Harebrained Schemes,"Paradox Interactive,Paradox Interactive","Adventure,Indie,RPG,Strategy",$19.99 
Duelyst,"Mostly Positive,(21),- 71% of the 21 user reviews in the last 30 days are positive.","Very Positive,(4,286),- 81% of the 4,286 user reviews for this game are positive.",23-Aug-16,Counterplay Games Inc.,"BANDAI NAMCO Entertainment America,BANDAI NAMCO Entertainment America","Free to Play,Indie,Strategy",Free To Play
Niche - a genetics survival game,"Very Positive,(37),- 81% of the 37 user reviews in the last 30 days are positive.","Very Positive,(2,008),- 87% of the 2,008 user reviews for this game are positive.",15-Sep-16,Stray Fawn Studio,"Stray Fawn Studio,Stray Fawn Studio","Indie,Simulation,Strategy",$17.99 
Risk of Rain,"Very Positive,(53),- 86% of the 53 user reviews in the last 30 days are positive.","Very Positive,(16,627),- 93% of the 16,627 user reviews for this game are positive.",8-Nov-13,Hopoo Games,"Chucklefish,Chucklefish","Action,Indie,RPG",$9.99 
Xenonauts,Unknown,"Very Positive,(1,981),- 87% of the 1,981 user reviews for this game are positive.",16-Jun-14,Goldhawk Interactive,"Goldhawk Interactive,Goldhawk Interactive","Indie,Simulation,Strategy",$24.99 
The Bard's Tale IV: Barrows Deep,Unknown,"Mixed,(643),- 63% of the 643 user reviews for this game are positive.",18-Sep-18,inXile Entertainment,"inXile Entertainment,inXile Entertainment",RPG,$34.99 
Faeria,"Mixed,(15),- 66% of the 15 user reviews in the last 30 days are positive.","Very Positive,(821),- 85% of the 821 user reviews for this game are positive.",8-Mar-17,Abrakam SA,"Versus Evil,Versus Evil","Adventure,Indie,Massively Multiplayer,RPG,Strategy",$24.99 
Hyper Light Drifter,"Very Positive,(57),- 85% of the 57 user reviews in the last 30 days are positive.","Very Positive,(9,615),- 94% of the 9,615 user reviews for this game are positive.",31-Mar-16,Heart Machine,"Heart Machine,Heart Machine","Action,Adventure,Indie,RPG",$19.99 
Shadowrun Returns,"Very Positive,(28),- 89% of the 28 user reviews in the last 30 days are positive.","Very Positive,(7,048),- 88% of the 7,048 user reviews for this game are positive.",25-Jul-13,Harebrained Schemes,"Paradox Interactive,Paradox Interactive","Adventure,Indie,RPG,Strategy",$14.99 
The Escapists,"Very Positive,(57),- 85% of the 57 user reviews in the last 30 days are positive.","Very Positive,(11,643),- 89% of the 11,643 user reviews for this game are positive.",13-Feb-15,Mouldy Toof Studios,"Team17 Digital Ltd,Team17 Digital Ltd","Action,Adventure,Indie,Simulation,Strategy",$17.99 
Road Redemption,"Mixed,(55),- 69% of the 55 user reviews in the last 30 days are positive.","Very Positive,(4,936),- 80% of the 4,936 user reviews for this game are positive.",4-Oct-17,"EQ-Games , Pixel Dash Studios","Tripwire Interactive,Tripwire Interactive","Action,Adventure,Indie,Racing,Simulation",$19.99 
Octodad: Dadliest Catch,"Very Positive,(26),- 92% of the 26 user reviews in the last 30 days are positive.","Very Positive,(6,094),- 92% of the 6,094 user reviews for this game are positive.",30-Jan-14,Young Horses,"Young Horses,Young Horses","Action,Adventure,Indie",$14.99 
Among the Sleep - Enhanced Edition,Unknown,"Very Positive,(3,394),- 86% of the 3,394 user reviews for this game are positive.",2-Nov-17,Krillbite Studio,"Krillbite Studio,Krillbite Studio","Action,Adventure,Indie",Play Demo!
Planet Nomads,"Mixed,(25),- 48% of the 25 user reviews in the last 30 days are positive.","Mixed,(1,098),- 67% of the 1,098 user reviews for this game are positive.",3-May-19,Craneballs,"Craneballs,Craneballs","Action,Adventure,Indie,Simulation",$19.99 
StarCrawlers,"Very Positive,(16),- 81% of the 16 user reviews in the last 30 days are positive.","Very Positive,(430),- 84% of the 430 user reviews for this game are positive.",23-May-17,Juggernaut Games,"Juggernaut Games,Juggernaut Games","Adventure,Indie,RPG",$19.99 
Chroma Squad,"Very Positive,(13),- 92% of the 13 user reviews in the last 30 days are positive.","Overwhelmingly Positive,(1,715),- 95% of the 1,715 user reviews for this game are positive.",30-Apr-15,Behold Studios,"Behold Studios,Behold Studios","Indie,RPG,Strategy",$49.96 
Sundered®: Eldritch Edition,"Very Positive,(96),- 82% of the 96 user reviews in the last 30 days are positive.","Very Positive,(1,478),- 81% of the 1,478 user reviews for this game are positive.",28-Jul-17,Thunder Lotus Games,"Thunder Lotus Games,Thunder Lotus Games","Action,Adventure,Indie",$19.99 
SpaceChem,Unknown,"Overwhelmingly Positive,(1,809),- 96% of the 1,809 user reviews for this game are positive.",2-Mar-11,Zachtronics,"Zachtronics,Zachtronics","Indie,Simulation",$9.99 
ToeJam & Earl: Back in the Groove!,Unknown,"Very Positive,(235),- 91% of the 235 user reviews for this game are positive.",28-Feb-19,HumaNature Studios,"HumaNature Studios,HumaNature Studios","Adventure,Casual,Indie",$19.99 
The Banner Saga,"Mostly Positive,(38),- 76% of the 38 user reviews in the last 30 days are positive.","Very Positive,(9,026),- 89% of the 9,026 user reviews for this game are positive.",14-Jan-14,Stoic,"Versus Evil,Versus Evil","Indie,RPG,Strategy",$24.99 
Twilight Struggle,Unknown,"Very Positive,(817),- 85% of the 817 user reviews for this game are positive.",13-Apr-16,"Playdek, Inc.","Asmodee Digital,Asmodee Digital","Simulation,Strategy",$9.99 
Contagion,"Mixed,(23),- 47% of the 23 user reviews in the last 30 days are positive.","Mostly Positive,(7,991),- 74% of the 7,991 user reviews for this game are positive.",25-Oct-13,"Monochrome, Inc","Monochrome, Inc,Monochrome, Inc","Action,Adventure,Indie",$9.99 
Broken Sword 5 - the Serpent's Curse,Unknown,"Very Positive,(1,128),- 87% of the 1,128 user reviews for this game are positive.",20-Jun-14,Revolution Software Ltd,"Revolution Software Ltd,Revolution Software Ltd",Adventure,$24.99 
Awesomenauts - the 2D moba,"Mixed,(76),- 68% of the 76 user reviews in the last 30 days are positive.","Very Positive,(24,481),- 84% of the 24,481 user reviews for this game are positive.",1-Aug-12,Ronimo Games,"Ronimo Games,Ronimo Games","Action,Free to Play,Indie,Strategy",Free To Play
Pinstripe,"Very Positive,(34),- 94% of the 34 user reviews in the last 30 days are positive.","Very Positive,(900),- 89% of the 900 user reviews for this game are positive.",24-Apr-17,Thomas Brush,"Armor Games Studios,Armor Games Studios","Adventure,Casual,Indie",$14.99 
Planet Explorers,"Mixed,(15),- 40% of the 15 user reviews in the last 30 days are positive.","Mixed,(4,621),- 67% of the 4,621 user reviews for this game are positive.",8-Nov-16,Pathea Games,"Pathea Games,Pathea Games","Action,Adventure,Indie,RPG,Simulation",$9.99 
Guns of Icarus Online,"Mixed,(13),- 61% of the 13 user reviews in the last 30 days are positive.","Very Positive,(8,213),- 91% of the 8,213 user reviews for this game are positive.",29-Oct-12,Muse Games,"Muse Games,Muse Games","Action,Adventure,Indie,Simulation",$4.99 
Satellite Reign,"Mixed,(13),- 46% of the 13 user reviews in the last 30 days are positive.","Mostly Positive,(1,931),- 74% of the 1,931 user reviews for this game are positive.",28-Aug-15,5 Lives Studios,"5 Lives Studios,5 Lives Studios","Action,Indie,Strategy",$29.99 
Thimbleweed Park™,"Very Positive,(16),- 87% of the 16 user reviews in the last 30 days are positive.","Very Positive,(1,648),- 93% of the 1,648 user reviews for this game are positive.",30-Mar-17,Terrible Toybox,"Terrible Toybox,Terrible Toybox","Adventure,Indie",$19.99 
Wandersong,"Very Positive,(24),- 95% of the 24 user reviews in the last 30 days are positive.","Very Positive,(343),- 97% of the 343 user reviews for this game are positive.",27-Sep-18,Greg Lobanov,"Greg Lobanov,Greg Lobanov","Adventure,Indie",$19.99 
Freedom Planet,Unknown,"Overwhelmingly Positive,(2,393),- 96% of the 2,393 user reviews for this game are positive.",21-Jul-14,GalaxyTrail,"GalaxyTrail,GalaxyTrail","Action,Indie",$14.99 
CLANNAD,"Very Positive,(16),- 100% of the 16 user reviews in the last 30 days are positive.","Overwhelmingly Positive,(1,743),- 97% of the 1,743 user reviews for this game are positive.",23-Nov-15,VisualArts/Key,"Sekai Project,Sekai Project","Adventure,Casual",$49.99 
Hard West,"Mostly Positive,(31),- 70% of the 31 user reviews in the last 30 days are positive.","Mostly Positive,(2,270),- 77% of the 2,270 user reviews for this game are positive.",18-Nov-15,CreativeForge Games,"Good Shepherd Entertainment,Good Shepherd Entertainment","Adventure,Indie,RPG,Strategy",$19.99 
